[属性描述]
投影类型=高斯克吕格
坐标系=2000国家大地坐标系
分带=
带号=
[地块坐标]
19,42.9465,0000NaN,2011-44,面,,增减挂钩项目,建设用地,@
13,1,3339153.364,38569354.93
14,1,3339249.768,38569613.961
15,1,3339191.669,38569630.101
16,1,3339154.156,38569620.141
17,1,3339159.282,38569587.431
18,1,3339155.886,38569577.661
19,1,3339139.882,38569573.931
20,1,3339158.465,38569548.681
21,1,3339138.299,38569545.711
22,1,3339153.274,38569503.381
23,1,3339143.835,38569454.841
24,1,3339140.005,38569444.711
25,1,3339106.2,38569455.031
26,1,3339106.531,38569425.741
27,1,3339074.141,38569411.111
28,1,3339068.828,38569364.35
29,1,3339050.444,38569356.38
30,1,3338950.791,38568975.829
31,1,3338980.767,38568911.279
32,1,3339000.238,38568890.809
13,106.5225,0000NaN,2011-18-2,面,,增减挂钩项目,建设用地,@
1,1,3339331.256,38568858.789
2,1,3339339.298,38568856.159
3,1,3339378.926,38568907.489
4,1,3339432.544,38568938.489
5,1,3339546.893,38568957.819
6,1,3339704.52,38569057.949
7,1,3339585.782,38569291.59
8,1,3339481.251,38569257.05
9,1,3339426.478,38569093.73
10,1,3339403.841,38569034.079
11,1,3339376.121,38568961.039
12,1,3339376.012,38568960.789
13,1,3339331.256,38568858.789
16,12.861,0000NaN,2014-10,面,,增减挂钩项目,建设用地,@
1,1,3321836.97,38561554.065
2,1,3321837.51,38561467.077
3,1,3321791.584,38561467.077
4,1,3321787.516,38561469.419
5,1,3321785.683,38561566.781
6,1,3321727.697,38561566.79
7,1,3321727.697,38561456.789
8,1,3321786.506,38561456.626
9,1,3321805.591,38561453.446
10,1,3321824.687,38561450.756
11,1,3321843.139,38561448.838
12,1,3321845.985,38561451.94
13,1,3321848.897,38561450.531
14,1,3321848.897,38561566.79
15,1,3321838.532,38561566.812
16,1,3321836.97,38561554.065
11,92.4525,0000NaN,2011-32,面,,增减挂钩项目,建设用地,@
1,1,3328545.279,38583584.537
2,1,3328547.71,38583752.928
3,1,3328619.441,38583758.538
4,1,3328655.782,38583718.478
5,1,3328670.062,38583746.498
6,1,3328735.119,38583840.318
7,1,3328687.589,38583854.718
8,1,3328524.055,38583855.018
9,1,3328375.588,38583855.118
10,1,3328389.887,38583578.897
11,1,3328545.279,38583584.537
8,18.93,0000NaN,2011-37,面,,增减挂钩项目,建设用地,@
1,1,3327457.335,38594238.023
2,1,3327500.515,38594267.103
3,1,3327439.536,38594317.283
4,1,3327410.056,38594292.443
5,1,3327358.611,38594252.833
6,1,3327310.359,38594214.503
7,1,3327350.999,38594157.382
8,1,3327457.335,38594238.023
23,25.395,0000NaN,2014-9-2,面,,增减挂钩项目,建设用地,@
1,1,3314474.517,38581676.404
2,1,3314475.797,38581677.035
3,1,3314482.905,38581680.539
4,1,3314567.11,38581722.052
5,1,3314621.542,38581730.513
6,1,3314649.082,38581734.794
7,1,3314649.055,38581734.928
8,1,3314638.964,38581783.802
9,1,3314630.934,38581822.696
10,1,3314617.816,38581820.665
11,1,3314585.585,38581815.299
12,1,3314563.285,38581810.309
13,1,3314545.29,38581804.76
14,1,3314527.381,38581797.357
15,1,3314510.498,38581788.697
16,1,3314502.18,38581783.923
17,1,3314472.597,38581766.647
18,1,3314439.614,38581748.066
19,1,3314449.228,38581730.928
20,1,3314451.512,38581726.202
21,1,3314454.357,38581709.112
22,1,3314467.151,38581684.21
23,1,3314474.517,38581676.404
